file,len_a,len_b,time_seconds
test1.in,25,25,16.323708057403564
test2.in,31,31,16.264096975326538
test3.in,37,37,16.294097185134888
test4.in,44,45,16.483680725097656
test5.in,51,52,16.56261968612671
test6.in,58,59,16.661844968795776
test7.in,65,67,16.719043016433716
test8.in,70,71,16.74902105331421
test9.in,78,79,16.860403776168823
test10.in,85,86,17.030468225479126
